claimed_component_name,implemented_module,mathematical_operation,input_availability,ablation,in_study_status,notes
6-session temporal patch,memory_study_v2.representations.extract_annual_representation,mean over 6 consecutive standardized/clipped sessions (42 patches of 6),past sessions t-252 to t-1,none (shared representation),IN_STUDY,Replaces legacy 1-session representation for matched temporal coverage
42-patch Annual Window,memory_study_v2.representations.extract_annual_representation,"shape (42, 23) matrix or flattened (966,)",past sessions t-252 to t-1,none (shared representation),IN_STUDY,Matched 252-day annual information across all models
Fresh MLP Backbone,memory_study_v2.backbones.MLPAnnual,"Linear(966, 64) -> LN(64) -> GELU -> Linear(64, 128) -> LN(128) -> Linear(128, 1)",flattened 966-d vector,RIDGE_ANNUAL (linear baseline),IN_STUDY,"Fresh initialization with seeds 7, 17, 37; no legacy weights"
Fresh Transformer Backbone,memory_study_v2.backbones.TransformerAnnual,"Linear(23, 64) + sinusoidal PE -> 2 Post-LN layers (4 heads, d_ff=128, gelu, drop=0.1) -> learned attention pool -> Linear(64, 128) -> LN(128) -> Linear(128, 1)","(42, 23) patch matrix",MLP_ANNUAL (non-attention baseline),IN_STUDY,"Fresh initialization with seeds 7, 17, 37; no legacy weights"
Constrained Precedent Memory (MEM_SIM),memory_study_v2.retrieval.retrieve_mem_sim,"Squared Euclidean distance on 966-d vectors, exclude query security, cap 3 per sec, min spacing 21, k=25 arithmetic mean",past 126-session mature bank records,"KNN_PLAIN (no cap/spacing), MEM_RANDOM (random priority), HIST_PRIOR (unconditional mean)",IN_STUDY,Core memory contribution
Unconstrained k-NN (KNN_PLAIN),memory_study_v2.retrieval.retrieve_knn_plain,"Squared Euclidean distance on 966-d vectors, exclude query security, k=25, no cap, no spacing",past 126-session mature bank records,MEM_SIM ablation,IN_STUDY,Ablation isolating the effect of cap and spacing restrictions
Random Precedent Memory (MEM_RANDOM),memory_study_v2.retrieval.retrieve_mem_random,"Deterministic PCG64 shuffling of eligible records, apply cap 3 and spacing 21, k=25 arithmetic mean",past 126-session mature bank records,MEM_SIM ablation,IN_STUDY,Control for similarity-based selection priority
Unconditional Historical Prior (HIST_PRIOR),memory_study_v2.retrieval.retrieve_hist_prior,Unconditional cross-sectional mean of all mature 63-session values in fold bank,past 126-session mature bank records,MEM_SIM baseline,IN_STUDY,Baseline testing whether memory beats the unconditional historical mean
Matched Linear Ridge (RIDGE_ANNUAL),memory_study_v2.ridge.fit_ridge_model,Equal-market weighted Ridge regression with L2 lambda=0.001 in float64,flattened 966-d vector,MLP and Transformer baseline,IN_STUDY,Linear matched-information baseline
Selective Trust Gate,memory_study_v2.integration.fit_trust_gate,"g = sigmoid(a' z_norm + b), z = (|base|, |base-mem|, |mem|), pred = (1-g)*base + g*mem",base and memory predictions,"Fixed mixtures (MIX_MSE, MIX_SR)",IN_STUDY,Adaptive non-linear integration
Forecast-Selected Mixture (MIX_MSE),memory_study_v2.integration.select_mixture_mse,"min_lambda dev MSE over {0, 0.1, 0.25, 0.5, 1.0}",base and memory predictions,Adaptive gate,IN_STUDY,Fixed mixture benchmark minimizing dev MSE
Portfolio-Selected Mixture (MIX_SR),memory_study_v2.integration.select_mixture_mse,"max_lambda dev Sharpe over {0, 0.1, 0.25, 0.5, 1.0}",base and memory predictions,Adaptive gate,IN_STUDY,Fixed mixture benchmark maximizing dev Sharpe
Momentum Benchmarks,"MOMENTUM_21, VOL_MOMENTUM_21",21-session total return change and volatility-normalized change,past prices,PASSIVE_EQUAL_WEIGHT,IN_STUDY,Traditional rule-based momentum baselines
Passive Equal Weight,PASSIVE_EQUAL_WEIGHT,Equal-capital buy-and-hold at first open with terminal liquidation,tradable opens at first session,Active trading policies,IN_STUDY,Unmanaged market benchmark
Intraday news / tick embeddings,None,None,None,None,OUTSIDE_STUDY,Not part of daily memory system rebuild; explicitly excluded by Section 3.6
Reinforcement learning policy,None,None,None,None,OUTSIDE_STUDY,Study 2 evaluates supervised memory integration; RL excluded by Section 1
US-dollar pooled portfolio,None,None,None,None,OUTSIDE_STUDY,Portfolios simulated in native local currencies; cross-currency pooling excluded
