comparison,delta_sharpe,se,margin_delta,z_non_inferiority,p_non_inferiority,verdict_non_inferiority,p_equivalence_tost,verdict_equivalence
P0* (Domestic Guardrail) vs P1 (No Memory),0.0108,0.0857,0.1,1.293,0.098,Inconclusive,0.149,Not Equivalent
P0* (Domestic Guardrail) vs P1 (No Memory),0.0108,0.0857,0.15,1.876,0.0303,Non-Inferior (p < 0.05),0.0522,Not Equivalent
P0* (Domestic Guardrail) vs P1 (No Memory),0.0108,0.0857,0.2,2.46,0.007,Non-Inferior (p < 0.05),0.0136,Equivalent (p < 0.05)
P0* (Domestic Guardrail) vs P1 (No Memory),0.0108,0.0857,0.25,3.043,0.0012,Non-Inferior (p < 0.05),0.0026,Equivalent (p < 0.05)
P0* (Domestic Guardrail) vs P1 (No Memory),0.0108,0.0857,0.3,3.627,0.0001,Non-Inferior (p < 0.05),0.0004,Equivalent (p < 0.05)
P0 (Global Memory) vs P1 (No Memory),-0.1068,0.0938,0.1,-0.072,0.5289,Inconclusive,0.5289,Not Equivalent
P0 (Global Memory) vs P1 (No Memory),-0.1068,0.0938,0.15,0.461,0.3226,Inconclusive,0.3226,Not Equivalent
P0 (Global Memory) vs P1 (No Memory),-0.1068,0.0938,0.2,0.994,0.1602,Inconclusive,0.1602,Not Equivalent
P0 (Global Memory) vs P1 (No Memory),-0.1068,0.0938,0.25,1.527,0.0634,Inconclusive,0.0634,Not Equivalent
P0 (Global Memory) vs P1 (No Memory),-0.1068,0.0938,0.3,2.06,0.0197,Non-Inferior (p < 0.05),0.0197,Equivalent (p < 0.05)
P0* (Domestic Guardrail) vs P0 (Global Memory),0.1175,0.0753,0.1,2.888,0.0019,Non-Inferior (p < 0.05),0.5919,Not Equivalent
P0* (Domestic Guardrail) vs P0 (Global Memory),0.1175,0.0753,0.15,3.552,0.0002,Non-Inferior (p < 0.05),0.333,Not Equivalent
P0* (Domestic Guardrail) vs P0 (Global Memory),0.1175,0.0753,0.2,4.216,0.0,Non-Inferior (p < 0.05),0.1366,Not Equivalent
P0* (Domestic Guardrail) vs P0 (Global Memory),0.1175,0.0753,0.25,4.88,0.0,Non-Inferior (p < 0.05),0.0392,Equivalent (p < 0.05)
P0* (Domestic Guardrail) vs P0 (Global Memory),0.1175,0.0753,0.3,5.544,0.0,Non-Inferior (p < 0.05),0.0077,Equivalent (p < 0.05)
