index,name,legacy_alias,formula,minimum_bar_count,input_basis,missing_policy
0,return_1,tech_return_1d,C[t]/C[t-1]-1,2,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
1,momentum_3,tech_momentum_3d,C[t]/C[t-3]-1,4,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
2,momentum_10,tech_momentum_10d,C[t]/C[t-10]-1,11,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
3,momentum_21,tech_momentum_21d,C[t]/C[t-21]-1,22,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
4,volatility_21,tech_volatility_21d,sample_std(r[t-20:t+1]),22,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
5,volume_mean_21,tech_volume_sma_21d,mean(V[t-20:t+1]),21,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
6,volume_ratio_21,tech_volume_ratio_21d,V[t]/(mean(V[t-20:t+1])+eps),21,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
7,volume_change_1,tech_volume_change_1d,V[t]/V[t-1]-1; both zero -> 0; previous zero and current positive -> invalid,2,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
8,intraday_range,tech_intraday_range_hl,(H[t]-L[t])/(C[t]+eps),1,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
9,drawdown_252,tech_drawdown_from_peak_21d,(C[t]-max(C[t-251:t+1]))/(max(C[t-251:t+1])+eps),252,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
10,trend_slope_21,tech_trend_slope_21d,OLS slope(C[t-20:t+1] on indices 0..20 with intercept)/(C[t]+eps),21,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
11,close_vs_mean_50,tech_close_vs_sma_50,(C[t]-mean(C[t-49:t+1]))/(mean(C[t-49:t+1])+eps),50,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
12,close_vs_mean_150,tech_close_vs_sma_150,(C[t]-mean(C[t-149:t+1]))/(mean(C[t-149:t+1])+eps),150,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
13,close_vs_mean_200,tech_close_vs_sma_200,(C[t]-mean(C[t-199:t+1]))/(mean(C[t-199:t+1])+eps),200,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
14,mean_200_trend_20,tech_sma_200_trend_20,(MA200[t]-MA200[t-20])/(MA200[t-20]+eps),220,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
15,above_low_252,tech_pct_above_52w_low,(C[t]-min(C[t-251:t+1]))/(min(C[t-251:t+1])+eps),252,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
16,from_high_252,tech_pct_from_52w_high,(C[t]-max(C[t-251:t+1]))/(max(C[t-251:t+1])+eps),252,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
17,up_down_volume_50,tech_up_down_volume_ratio_50,sum(V[s] for r[s]>0 in last 50)/(sum(V[s] for r[s]<0 in last 50)+eps); unchanged closes in neither sum,51,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
18,rsi_14,tech_rsi_14,"gain=mean(max(deltaC,0),14); loss=mean(max(-deltaC,0),14); 1-1/(1+gain/(loss+eps)); both zero -> 0.5",15,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
19,atr_ratio_14,tech_atr_ratio_14,"mean(max(H-L,abs(H-Cprev),abs(L-Cprev)),14)/(C[t]+eps)",15,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
20,macd_signal_diff,tech_macd_signal_diff,macd=EMA12(C)-EMA26(C); (macd-EMA9(macd))/(C[t]+eps); recursive adjust=False,252,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
21,bollinger_width_20,tech_bollinger_bandwidth_20,4*sample_std(C[t-19:t+1])/(mean(C[t-19:t+1])+eps),20,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
22,vol_ratio_63_21,tech_historical_vol_ratio_63_21,sample_std(r[t-62:t+1])/(sample_std(r[t-20:t+1])+eps),64,causal_total_return_OHLC_and_split_normalized_volume,full_windows; global 252-bar warmup; nonfinite row invalid; no imputation
